,nome_cognome,sigla_partito,id_senatore,website_1,twitter_1,facebook_1,youtube_1,instagram_1,linkedin_1,website_2
4741,Alessandrina LONARDO,FI-BP,4741,,,,,,,
14224,Pierpaolo SILERI,M5S,14224,,,https://www.facebook.com/piersileri,,https://www.instagram.com/pierpaolosileri/,,
17211,Elio LANNUTTI,M5S,17211,,,,,,,
17542,Alberto BALBONI,FdI,17542,,,,,,,
17578,Loredana DE PETRIS,Misto,17578,,https://twitter.com/PetrisDe,https://www.facebook.com/loredana.depetris,,,,
17750,Roberta PINOTTI,PD,17750,http://www.robertapinotti.it,https://twitter.com/robertapinotti,,,,,
17841,Massimo FERRO,FI-BP,17841,,,,,,,
17887,Niccolo' GHEDINI,FI-BP,17887,,,,,,,
18121,Daniela GARNERO SANTANCHE',FdI,18121,,,,,,,
18499,Monica CIRINNA',PD,18499,http://www.monicacirinna.it,,,,,,
18562,Daisy PIROVANO,L-SP-PSd'Az,18562,,,,,,,
18715,Gaetano QUAGLIARIELLO,FI-BP,18715,http://www.gaetanoquagliariello.it,,,,,,
18740,Giuseppe MOLES,FI-BP,18740,,,,,,,
19244,Luigi AUGUSSORI,L-SP-PSd'Az,19244,http://www.luigiaugussori.com,,,,,,
19777,Sandro Mario BIASOTTI,FI-BP,19777,,,,,,,
20658,Luigi ZANDA,PD,20658,,,,,,,
21507,Mauro Maria MARINO,PD,21507,http://mauromariamarino.it/,https://twitter.com/mauro_m_marino,https://www.facebook.com/mauromariamarino63,,,,
22712,Paola BINETTI,FI-BP,22712,http://www.paolabinetti.it,,,,,,
22717,Anna Cinzia BONFRISCO,L-SP-PSd'Az,22717,,,,,,,
22784,Achille TOTARO,FdI,22784,http://achilletotaro.it,https://twitter.com/totaroachille,https://www.facebook.com/Achille-Totaro-Senatore-della-Repubblica-45144914470/,https://www.youtube.com/channel/UCm0mwqiX_xJhWeudeSrMK3Q,,,
22814,Antonio DE POLI,FI-BP,22814,http://www.antoniodepoli.it,,,,,,
22865,Teresa BELLANOVA,PD,22865,,,,,,,
22877,Giulia BONGIORNO,L-SP-PSd'Az,22877,,,,,,,
22914,Stefania Gabriella Anastasia CRAXI,FI-BP,22914,,,,,,,
22970,Francesco Maria GIRO,FI-BP,22970,,,,,,,
23007,Ricardo Antonio MERLO,Misto,23007,http://www.maiemondiale.com,https://twitter.com/ricardomerlo5,https://www.facebook.com/maie.americalatina/,,https://www.instagram.com/ricardomerlo.maie/,,
23011,Antonio MISIANI,PD,23011,http://www.antoniomisiani.it,,,,,,
23015,Enrico MONTANI,L-SP-PSd'Az,23015,,,,,,,
23135,Salvatore MARGIOTTA,PD,23135,http://www.salvatoremargiotta.it,https://twitter.com/s_margiotta,,,,,
24989,Francesco BATTISTONI,FI-BP,24989,,,,,,,
25198,Maria RIZZOTTI,FI-BP,25198,http://www.mariarizzotti.it/,https://twitter.com/maria_rizzotti,https://www.facebook.com/SenMariaRizzotti/,,https://www.instagram.com/mariella_rizzotti_ufficiale/,,
25199,Gilberto PICHETTO FRATIN,FI-BP,25199,,,,,,,
25205,Alfredo MESSINA,FI-BP,25205,,,,,,,
25206,Salvatore SCIASCIA,FI-BP,25206,,,,,,,
25207,Giancarlo SERAFINI,FI-BP,25207,,,,,,,
25214,Giacomo CALIENDO,FI-BP,25214,,,,,,,
25218,Gianpaolo VALLARDI,L-SP-PSd'Az,25218,,,,,,,
25269,Raffaele STANCANELLI,FdI,25269,,,,,,,
25295,Mario PITTONI,L-SP-PSd'Az,25295,,,,,,,
25402,Daniela SBROLLINI,PD,25402,,,,,,,
25407,Matteo SALVINI,L-SP-PSd'Az,25407,,https://twitter.com/matteosalvinimi,https://www.facebook.com/salviniofficial/,,,,
25411,Anna ROSSOMANDO,PD,25411,,,,,,,
25412,Mariarosaria ROSSI,FI-BP,25412,,,,,https://www.instagram.com/mariarosaria.rossi/,,
25415,Erica RIVOLTA,L-SP-PSd'Az,25415,,,,,,,
25446,Gaetano NASTRI,FdI,25446,,,,,,,
25468,Marco MARSILIO,FdI,25468,,,,,,,
25492,Gabriella GIAMMANCO,FI-BP,25492,,https://twitter.com/gabrigiammanco,https://www.facebook.com/gabriella.giammanco/,,,,
25498,Laura GARAVINI,PD,25498,http://www.garavini.eu,https://twitter.com/lauragaravini,,,https://www.instagram.com/garavini.l/,,http://www.facebook.com/LauraGaravini/
25558,Anna Maria BERNINI,FI-BP,25558,,,,,,,
25565,Claudio BARBARO,L-SP-PSd'Az,25565,,,,,,,
26041,Valeria FEDELI,PD,26041,http://www.valeriafedeli.it,https://twitter.com/valeriafedeli,https://www.facebook.com/valeriafedelipd,,,https://it.linkedin.com/pub/valeria-fedeli/43/1b5/a58,
26539,Maria Alessandra GALLONE,FI-BP,26539,,,,,,,
27476,Raffaele FANTETTI,FI-BP,27476,http://www.raffaelefantetti.it,,,,,,
27874,Domenico DE SIANO,FI-BP,27874,,,,,,,
28543,Mario MONTI,Misto,28543,,,,,,,
28924,Francesco VERDUCCI,PD,28924,,https://twitter.com/cescverducci,https://www.facebook.com/cescverducci,,,,
29034,Alberto AIROLA,M5S,29034,,,,,,,
29039,Paolo ARRIGONI,L-SP-PSd'Az,29039,http://www.paoloarrigoni.com/,https://twitter.com/arrigoni_paolo,https://www.facebook.com/PaoloArrigoni.Lega/,,,,
29040,Bruno ASTORRE,PD,29040,,,,,,,
29053,Laura BOTTICI,M5S,29053,,,https://www.facebook.com/pages/Laura-Bottici-Movimento-5-Stelle/477764842273479,,,,
29055,Maurizio BUCCARELLA,Misto,29055,,,,,,,
29059,Stefano CANDIANI,L-SP-PSd'Az,29059,,https://twitter.com/candianistefano,https://www.facebook.com/stefano.candiani.3,,https://www.instagram.com/candiani.stefano/,,
29065,Gianluca CASTALDI,M5S,29065,,https://twitter.com/gianlucavasto,https://www.facebook.com/castaldim5ssenato,,,,
29066,Nunzia CATALFO,M5S,29066,,,,,,,
29067,Gian Marco CENTINAIO,L-SP-PSd'Az,29067,http://www.gianmarcocentinaio.it,,,,,,
29069,Lello CIAMPOLILLO,M5S,29069,,,,,,,
29070,Andrea CIOFFI,M5S,29070,,,,,,,
29072,Stefano COLLINA,PD,29072,http://www.stefanocollina.it,https://twitter.com/collinastefano,https://www.facebook.com/stefano.collina2/,,,,
29075,Vito Claudio CRIMI,M5S,29075,http://www.movimento5stelle.it,https://twitter.com/vitocrimi,,,,https://it.linkedin.com/in/vitocrimi,
29076,Giuseppe Luigi Salvatore CUCCA,PD,29076,,,,,,,
29090,Daniela DONNO,M5S,29090,,,https://www.facebook.com/pages/Daniela-Donno/321917701263424,,,,
29091,Giovanni ENDRIZZI,M5S,29091,,,,,,,
29093,Elena FATTORI,M5S,29093,,,,,,,
29105,Francesco GIACOBBE,PD,29105,http://www.francescogiacobbe.it,,,,,,
29106,Mario Michele GIARRUSSO,M5S,29106,,,,,,,
29107,Nadia GINETTI,PD,29107,,,,,,,
29108,Gianni Pietro GIROTTO,M5S,29108,http://giannigirotto.wordpress.com,https://twitter.com/giannigirotto,https://www.facebook.com/gianni.girotto.9,https://www.youtube.com/user/giannigirotto,,https://it.linkedin.com/pub/gianni-girotto/10/34a/264,
29110,Pietro GRASSO,Misto,29110,,https://twitter.com/PietroGrasso,https://www.facebook.com/PietroGrasso,,,,
29115,Albert LANIECE,"Aut (SVP-PATT, UV)",29115,,,,,,,
29117,Barbara LEZZI,M5S,29117,,,,,,,
29123,Stefano LUCIDI,M5S,29123,,https://twitter.com/sfnlcd,https://www.facebook.com/sfnlcd/,,,,
29130,Carlo MARTELLI,Misto,29130,,,,,,,
29138,Franco MIRABELLI,PD,29138,http://www.francomirabelli.it,,,,,,
29140,Michela MONTEVECCHI,M5S,29140,http://michelamontevecchi.it/,https://www.twitter.com/M_Montevecchi,https://www.facebook.com/MichelaAMontevecchi,,,,
29142,Vilma MORONESE,M5S,29142,http://www.vilmamoronese.it,https://twitter.com/vilmamoronese,https://www.facebook.com/vilmamoronese.it,https://www.youtube.com/user/vilmamoronese/videos,,,
29143,Nicola MORRA,M5S,29143,,,,,,,
29147,Paola NUGNES,M5S,29147,,https://twitter.com/paolanugnes,https://www.facebook.com/paola.nugnes,,,,
29157,Annamaria PARENTE,PD,29157,,https://twitter.com/am_parente,https://www.facebook.com/annamaria.parente.16,,,,
29161,Vito Rosario PETROCELLI,M5S,29161,,,,,,,
29164,Sergio PUGLIA,M5S,29164,http://www.pugliasergio.it,https://twitter.com/sergiopuglia,https://it-it.facebook.com/pugliasergio/,,https://www.instagram.com/sergio.puglia/,https://www.linkedin.com/in/sergio-puglia-ba16a520/,
29174,Vincenzo SANTANGELO,M5S,29174,http://www.vincenzomauriziosantangelo.it/,https://twitter.com/mausantangelo,https://www.facebook.com/VincenzoMaurizioSantangelo/,,,,
29185,Erika STEFANI,L-SP-PSd'Az,29185,,,,,,,
29186,Dario STEFANO,PD,29186,http://www.dariostefano.it,https://twitter.com/dariostefano,https://www.facebook.com/dariostefano2010,,,,
29189,Paola TAVERNA,M5S,29189,,,,,,,
29194,Vito VATTUONE,PD,29194,,,,,,,
29209,Emilio FLORIS,FI-BP,29209,,,,,,,
29248,Donatella AGOSTINELLI,M5S,29248,,,,,,,
29282,Caterina BINI,PD,29282,http://www.caterinabini.it,https://twitter.com/caterinabini,https://www.facebook.com/BiniCaterina,https://www.youtube.com/user/CaterinaBini,https://www.instagram.com/caterinabini/,,
29288,Francesco BONIFAZI,PD,29288,,,,,,,
29292,Stefano BORGHESI,L-SP-PSd'Az,29292,,,,,,,
29329,Andrea CAUSIN,FI-BP,29329,http://www.andreacausin.it,,,,,,
29358,Vincenzo D'ARIENZO,PD,29358,http://www.vincenzodarienzo.it,,,,,,
29395,Davide FARAONE,PD,29395,,https://twitter.com/davidefaraone,https://www.facebook.com/DavideFaraone/,,https://www.instagram.com/davide_faraone/,,
29398,Alan FERRARI,PD,29398,http://www.alanferrari.it,https://twitter.com/alnferrari,https://www.facebook.com/ferrarialan,,,,
29443,Vanna IORI,PD,29443,http://www.vannaiori.it,,,,,,
29450,Francesco LAFORGIA,Misto,29450,,,,,,,
29464,Ernesto MAGORNO,PD,29464,http://ernestomagorno.com,https://twitter.com/emagorno,https://www.facebook.com/ernesto.magorno,,https://www.instagram.com/ernestomagorno/,,
29467,Simona Flavia MALPEZZI,PD,29467,,,,,,,
29470,Matteo MANTERO,M5S,29470,http://it-it.facebook.com/matteomantero.m5s/,,,,,,
29480,Roberto MARTI,L-SP-PSd'Az,29480,,,,,,,
29521,Dario PARRINI,PD,29521,http://www.darioparrini.it,https://twitter.com/darioparrini,https://www.facebook.com/dario.parrini.5,,,,
29524,Edoardo PATRIARCA,PD,29524,,,,,,,
29527,Daniele PESCO,M5S,29527,,,,,,,
29552,Roberto RAMPI,PD,29552,http://www.robertorampi.it,https://twitter.com/rampi,https://www.facebook.com/robertorampi/,https://www.youtube.com/user/rampiroberto,https://www.instagram.com/robertorampi/,,
29555,Matteo RICHETTI,PD,29555,http://www.matteorichetti.it,https://twitter.com/matteorichetti,https://it-it.facebook.com/matteorichetti/,,https://www.instagram.com/matteorichetti/?hl=it,,
29591,Mino TARICCO,PD,29591,http://www.minotariccoinforma.it/,,,,,,
29599,Danilo TONINELLI,M5S,29599,,https://twitter.com/danilotoninelli,https://www.facebook.com/danilotoninelli.m5s,,https://www.instagram.com/danilotoninelli/?hl=it,,
29604,Valeria VALENTE,PD,29604,,,,,,,
30396,Urania Giulia Rosina PAPATHEU,FI-BP,30396,,https://twitter.com/uraniapapatheu,,,,,
30510,Carlo RUBBIA,,30510,,,,,,,
30511,Elena CATTANEO,"Aut (SVP-PATT, UV)",30511,http://www.cattaneoinsenato.it/,,,,,,
30512,Renzo PIANO,,30512,http://renzopianog124.com,,,,,,
30742,Matteo RENZI,PD,30742,http://www.matteorenzi.it,https://twitter.com/matteorenzi,https://www.facebook.com/matteorenziufficiale/,https://www.youtube.com/matteorenzi,https://www.instagram.com/matteorenzi/,,
30915,Paolo TOSATO,L-SP-PSd'Az,30915,,,,,,,
31009,Stefano BERTACCO,FdI,31009,,,,,,,
31143,Paola BOLDRINI,PD,31143,,,,,,,
31157,Antonio SACCONE,FI-BP,31157,,,,,,,
31373,Silvana GIANNUZZI,M5S,31373,,,,,,,
31572,Tommaso NANNICINI,PD,31572,http://www.tommasonannicini.eu,https://twitter.com/tnannicini,https://www.facebook.com/TNannicini/,,,,
32435,Liliana SEGRE,Misto,32435,,,,,,,
32576,Rosa Silvana ABATE,M5S,32576,,,,,,,
32577,Rossella ACCOTO,M5S,32577,,,,,,,
32578,Alessandro ALFIERI,PD,32578,,,https://www.facebook.com/ale.alfieri.va/,,https://www.instagram.com/alfieri_ale/,,
32579,Cristiano ANASTASI,M5S,32579,,,,,,,
32580,Luisa ANGRISANI,M5S,32580,,,,,,,
32581,Giuseppe AUDDINO,M5S,32581,,,https://it-it.facebook.com/giuseppefabio.auddino,,,,
32582,Alberto BAGNAI,L-SP-PSd'Az,32582,http://albertobagnai.it/,https://twitter.com/albertobagnai,,,,,
32583,Alberto BARACHINI,FI-BP,32583,,,,,,,
32584,Antonio BARBONI,FI-BP,32584,,,,,,,
32585,Roberto BERARDI,FI-BP,32585,,,,,,,
32586,Giorgio Maria BERGESIO,L-SP-PSd'Az,32586,http://www.giorgiobergesio.it,,https://www.facebook.com/giorgiomariabergesio/,,https://Instagram.com/giorgiobergesio/,,
32587,Massimo Vittorio BERUTTI,FI-BP,32587,,,,,,,
32588,Caterina BITI,PD,32588,,,,,,,
32589,Vittoria Francesca Maria BOGO DELEDDA,M5S,32589,,,,,,,
32590,Lucia BORGONZONI,L-SP-PSd'Az,32590,,,,,,,
32591,Simone BOSSI,L-SP-PSd'Az,32591,,,,,,,
32592,Elena BOTTO,M5S,32592,,,,,,,
32593,Luca BRIZIARELLI,L-SP-PSd'Az,32593,,,https://www.facebook.com/lucabriziarelliofficial/,,,,
32594,Antonella CAMPAGNA,M5S,32594,,,,,,,
32595,Maurizio CAMPARI,L-SP-PSd'Az,32595,,,https://www.facebook.com/MaurizioCampariLegaNordParma,,,,
32596,Massimo CANDURA,L-SP-PSd'Az,32596,,,,,,,
32597,Andrea CANGINI,FI-BP,32597,,,,,,,
32598,Maria Cristina CANTU',L-SP-PSd'Az,32598,,,,,,,
32599,Marzia CASOLATI,L-SP-PSd'Az,32599,,,,,,,
32600,Maria Domenica CASTELLONE,M5S,32600,,,,,,,
32601,Francesco CASTIELLO,M5S,32601,,,,,,,
32602,Tommaso CERNO,PD,32602,,https://twitter.com/tommasocerno,,,,,
32603,Luca CIRIANI,FdI,32603,,,https://www.facebook.com/L.Ciriani/,,,,
32604,Mauro COLTORTI,M5S,32604,,,,,,,
32605,Donatella CONZATTI,FI-BP,32605,http://www.donatellaconzatti.it,https://www.twitter.com/donaconzatti,https://www.facebook.com/DonaConzatti/,,,,
32606,Gianmarco CORBETTA,M5S,32606,http://gianmarcocorbetta.it,,,,,,
32607,Margherita CORRADO,M5S,32607,,,,,,,
32608,Marco CROATTI,M5S,32608,,,,,,,
32609,Mattia CRUCIOLI,M5S,32609,,,https://www.facebook.com/MattiaCrucioliM5S/,,,,
32610,Luciano D'ALFONSO,PD,32610,http://www.lucianodalfonso.it,https://twitter.com/lucianodalfonso?s=03,https://www.facebook.com/lucianodalfonso.official,,https://www.instagram.com/lucianodalfonso/,,
32611,Franco DAL MAS,FI-BP,32611,,,,,,,
32612,Grazia D'ANGELO,M5S,32612,,,,,,,
32613,Andrea DE BERTOLDI,FdI,32613,,,,,,,
32614,Saverio DE BONIS,Misto,32614,,,,,,,
32615,Gregorio DE FALCO,Misto,32615,,,https://it-it.facebook.com/Gregorio-De-Falco-223297811088342/,,,,
32616,Gianmauro DELL'OLIO,M5S,32616,,,,,,,
32617,Danila DE LUCIA,M5S,32617,,,,,,,
32618,Emanuele DESSI',M5S,32618,,,,,,,
32619,Gabriella DI GIROLAMO,M5S,32619,,,,,,,
32620,Luigi DI MARZIO,M5S,32620,,,,,,,
32621,Primo DI NICOLA,M5S,32621,,,,,,,
32622,Stanislao DI PIAZZA,M5S,32622,,,,,,,
32623,Tiziana Carmela Rosaria DRAGO,M5S,32623,http://www.tizianadrago.it,,,,,,
32624,Meinhard DURNWALDER,"Aut (SVP-PATT, UV)",32624,,,,,,,
32625,Vasco ERRANI,Misto,32625,,,,,,,
32626,Elvira Lucia EVANGELISTA,M5S,32626,,,,,,,
32627,Antonella FAGGI,L-SP-PSd'Az,32627,,,,,,,
32628,Giovanbattista FAZZOLARI,FdI,32628,,https://twitter.com/fazzogb,https://www.facebook.com/giovanbattistafazzolari/?ref=page_internal,,,,
32629,Giorgio FEDE,M5S,32629,,,,,,,
32630,Emiliano FENU,M5S,32630,,,,,,,
32631,Gianluca FERRARA,M5S,32631,,,,,,,
32632,Andrea FERRAZZI,PD,32632,,,,,,,
32633,Roberta FERRERO,L-SP-PSd'Az,32633,,,https://www.facebook.com/FerreroRobertaLega/,,,,
32634,Barbara FLORIDIA,M5S,32634,,,,,,,
32635,Sonia FREGOLENT,L-SP-PSd'Az,32635,,,,,,,
32636,Umberto FUSCO,L-SP-PSd'Az,32636,,,,,,,
32637,Adriano GALLIANI,FI-BP,32637,,,,,,,
32638,Agnese GALLICCHIO,M5S,32638,,,,,,,
32639,Vincenzo GARRUTI,M5S,32639,,,,,,,
32640,Felicia GAUDIANO,M5S,32640,,,,,,,
32641,Bianca Laura GRANATO,M5S,32641,,,,,,,
32642,Ugo GRASSI,M5S,32642,,,,,,,
32643,Leonardo GRIMANI,PD,32643,,,https://www.facebook.com/leonardo.grimani.1?ref=br_rs,,,,
32644,Barbara GUIDOLIN,M5S,32644,,,,,,,
32645,Antonio IANNONE,FdI,32645,,https://twitter.com/antonioiannone,https://www.facebook.com/AntonioIannonepage/,,,,
32646,Tony Chike IWOBI,L-SP-PSd'Az,32646,,,,,,,
32647,Patty L'ABBATE,M5S,32647,http://www.pattylabbate.com,https://www.twitter.com/Patty_LAbbate,https://www.facebook.com/PattyLabbateM5S,https://www.youtube.com/channel/UCvwZp2aPONazHLjV1sWWt9A,,,
32648,Virginia LA MURA,M5S,32648,,,,,,,
32649,Gabriele LANZI,M5S,32649,http://t.me/joinchat/AAAAAFAOSA4xo9nwKekJ6w,https://www.twitter.com/gablanzi,https://www.facebook.com/gabrielelanzi.it/,,,https://www.linkedin.com/in/gablanzi,
32650,Patrizio Giacomo LA PIETRA,FdI,32650,,,,,,,
32651,Mauro Antonio Donato LAUS,PD,32651,,,,,,,
32652,Cinzia LEONE,M5S,32652,,,,,,,
32653,Ettore Antonio LICHERI,M5S,32653,,,https://www.facebook.com/Ettore-Licheri-M5S-200148333901947/,,,,
32654,Arnaldo LOMUTI,M5S,32654,,,,,,,
32655,Pietro LOREFICE,M5S,32655,,,,,,,
32656,Giulia LUPO,M5S,32656,,,,,,,
32657,Lara MAGONI,  Fratelli d'Italia,32657,,https://twitter.com/laramagoni,https://www.facebook.com/lara.magoni,,https://www.instagram.com/laramagoni/,,
32658,Alessandra MAIORINO,M5S,32658,,,,,,,
32659,Massimo MALLEGNI,FI-BP,32659,https://massimomallegni.com/,,,,,,
32660,Daniele MANCA,PD,32660,,,,,,,
32661,Giuseppe Tommaso Vincenzo MANGIALAVORI,FI-BP,32661,,,,,,,
32662,Maria Laura MANTOVANI,M5S,32662,,,,,,,
32663,Gianni MARILOTTI,M5S,32663,,,,,,,
32664,Raffaella Fiormaria MARIN,L-SP-PSd'Az,32664,,,https://www.facebook.com/On-Senatrice-della-Repubblica-Raffaella-F-MARIN-LEGA-Salvini-Premier-388018935003220/,,,,
32665,Gaspare Antonio MARINELLO,M5S,32665,http://www.rinomarinello.com,,https://it-it.facebook.com/gasparemarinello.m5s/,,,,
32666,Barbara MASINI,FI-BP,32666,,,,,,,
32667,Susy MATRISCIANO,M5S,32667,,,,,,,
32668,Raffaele MAUTONE,M5S,32668,,,,,,,
32669,Assuntela MESSINA,PD,32669,,,,,,,
32670,Cataldo MININNO,M5S,32670,,,,,,,
32671,Fiammetta MODENA,FI-BP,32671,,,https://www.facebook.com/pg/FiammettaModenaOfficial/,,,,
32672,Francesco MOLLAME,M5S,32672,,,,,,,
32673,Gisella NATURALE,M5S,32673,,,,,,,
32674,Simona Nunzia NOCERINO,M5S,32674,,,,,,,
32675,Fabrizio ORTIS,M5S,32675,,,,,,,
32676,Franco ORTOLANI,M5S,32676,,,,,,,
32677,Andrea OSTELLARI,L-SP-PSd'Az,32677,,,https://www.facebook.com/ostellariandrea/,,,,
32678,Marinella PACIFICO,M5S,32678,,,,,,,
32679,Nazario PAGANO,FI-BP,32679,,,,,,,
32680,Gianluigi PARAGONE,M5S,32680,,,,,,,
32681,Stefano PATUANELLI,M5S,32681,,,,,,,
32682,Giuliano PAZZAGLINI,L-SP-PSd'Az,32682,,,,,,,
32683,Emanuele PELLEGRINI,L-SP-PSd'Az,32683,,,,,,,
32684,Marco PELLEGRINI,M5S,32684,,,https://www.facebook.com/Marco-Pellegrini-M5S-cittadino-eletto-al-Senato-325596887931400/,,,,
32685,Pasquale PEPE,L-SP-PSd'Az,32685,,,,,,,
32686,Simona PERGREFFI,L-SP-PSd'Az,32686,http://www.simonapergreffi.it/,https://twitter.com/simonapergreffi,https://www.facebook.com/simona.pergreffi,,https://www.instagram.com/simona.pergreffi/,https://www.linkedin.com/in/simona-pergreffi-011573b4/,
32687,Gianluca PERILLI,M5S,32687,,,,,,,
32688,Marco PEROSINO,FI-BP,32688,,,,,,,
32689,Angela Anna Bruna PIARULLI,M5S,32689,,,,,,,
32690,Simone PILLON,L-SP-PSd'Az,32690,http://www.simonepillon.it,https://twitter.com/SimoPillon,https://www.facebook.com/simone.pillon.4,,https://instagram.com/simone_pillon/,,
32691,Elisa PIRRO,M5S,32691,,,,,,,
32692,Giuseppe PISANI,M5S,32692,,,,,,,
32694,Pietro PISANI,L-SP-PSd'Az,32694,,,,,,,
32695,Nadia PIZZOL,L-SP-PSd'Az,32695,,,https://it-it.facebook.com/nadia.pizzol.9,,,,
32696,Vincenzo PRESUTTO,M5S,32696,,,,,,,
32697,Stefania PUCCIARELLI,L-SP-PSd'Az,32697,,,https://www.facebook.com/stefania.pucciarelli.9,,,,
32698,Ruggiero QUARTO,M5S,32698,,,,,,,
32699,Isabella RAUTI,FdI,32699,http://www.facebook.com/isabella.rauti/,https://twitter.com/IsabellaRauti,https://www.facebook.com/IsabellaRauti.PaginaPersonale?ref=br_rs,https://www.youtube.com/user/IsabellaRauti?feature=mhum#p/u,https://www.instagram.com/isabellarauti/,,http://www.flickr.com/photos/61153215@N07/
32700,Alessandra RICCARDI,M5S,32700,,,,,,,
32701,Sabrina RICCIARDI,M5S,32701,,,https://www.facebook.com/Sabrina-Ricciardi-M5S-578492105651911/,,,,
32702,Paolo RIPAMONTI,L-SP-PSd'Az,32702,,,,,,,
32703,Tatjana ROJC,PD,32703,,,,,,,
32704,Sergio ROMAGNOLI,M5S,32704,,,,,,,
32705,Iunio Valerio ROMANO,M5S,32705,,,,,,,
32706,Massimiliano ROMEO,L-SP-PSd'Az,32706,,,,,,,
32707,Licia RONZULLI,FI-BP,32707,,,,,,,
32708,Massimo RUSPANDINI,FdI,32708,,,,,,,
32709,Loredana RUSSO,M5S,32709,,,,,,,
32710,Agostino SANTILLO,M5S,32710,,,,,,,
32711,Maria SAPONARA,L-SP-PSd'Az,32711,,,,,,,
32712,Paolo SAVIANE,L-SP-PSd'Az,32712,,,,,,,
32713,Rosellina SBRANA,L-SP-PSd'Az,32713,,https://twitter.com/rosy1162,https://www.facebook.com/rosellina.sbrana,,,,
32714,Marco SICLARI,FI-BP,32714,http://www.marcosiclari.it,https://twitter.com/marcosiclari,https://it-it.facebook.com/pg/MarcoSiclariPaginaUfficiale/about/,,https://www.instagram.com/marcosiclari/,,
32715,Armando SIRI,L-SP-PSd'Az,32715,http://www.armandosiri.it,https://twitter.com/armandosiri,https://www.facebook.com/ArmandoSiri/,,https://www.instagram.com/armandosiri/,,
32716,Christian SOLINAS,L-SP-PSd'Az,32716,,,,,,,
32717,Laura STABILE,FI-BP,32717,,,https://www.facebook.com/dottoressaStabile/,,,,
32718,Dieter STEGER,"Aut (SVP-PATT, UV)",32718,,,,,,,
32719,Valeria SUDANO,PD,32719,,,,,,,
32720,Donatella TESEI,L-SP-PSd'Az,32720,,,,,,,
32721,Elena TESTOR,FI-BP,32721,http://www.elenatestor.it,,https://www.facebook.com/Elena-Testor-405664859891960/,,,,
32722,Maria Virginia TIRABOSCHI,FI-BP,32722,https://virginiatiraboschi.com/,,https://www.facebook.com/virginia.tiraboschi1,,https://www.instagram.com/virginia_tiraboschi/,https://www.linkedin.com/in/virginia-tiraboschi-80100611/,
32723,Roberta TOFFANIN,FI-BP,32723,,,,,,,
32725,Fabrizio TRENTACOSTE,M5S,32725,,,https://www.facebook.com/fabriziotrentacostemovimento5stelle/,,https://www.instagram.com/fabrizio.trentacoste/,,
32726,Mario TURCO,M5S,32726,,,,,,,
32727,Julia UNTERBERGER,"Aut (SVP-PATT, UV)",32727,,,,,,,
32728,Francesco URRARO,M5S,32728,,,,,,,
32729,Sergio VACCARO,M5S,32729,,,,,,,
32730,Orietta VANIN,M5S,32730,,,,,,,
32731,Gelsomina VONO,M5S,32731,,,,,,,
32732,Francesco ZAFFINI,FdI,32732,,,,,,,
32733,Cristiano ZULIANI,L-SP-PSd'Az,32733,,,,,,,
32741,Enrico AIMI,FI-BP,32741,,,,,,,
32742,Francesca ALDERISI,FI-BP,32742,,,,,,,
32743,Francesco BRUZZONE,L-SP-PSd'Az,32743,,,,,,,
32744,Vincenzo CARBONE,FI-BP,32744,,,,,,,
